songid,song,performer,peak,start_week,end_week,start_peak,end_peak,weeks_to_hot,weeks_hot,tail_weeks,time_at_top_10,climb_slope,tail_slope,avg_position,weeks_on_chart,instance,group
Lovin' Every Minute Of ItLoverboy,Lovin' Every Minute Of It,Loverboy,9.0,1985-08-24,1986-01-11,1985-11-02,1985-11-02,10.0,1.0,10.0,1.0,5.0,8.8,44.714285714285715,21.0,1.0,0
Miami Vice ThemeJan Hammer,Miami Vice Theme,Jan Hammer,1.0,1985-09-07,1986-02-01,1985-10-12,1985-11-23,5.0,7.0,10.0,7.0,10.0,9.2,35.77272727272727,22.0,1.0,5
I Knew You Were Waiting (For Me)Aretha Franklin & George Michael,I Knew You Were Waiting (For Me),Aretha Franklin & George Michael,1.0,1987-02-21,1987-06-13,1987-03-28,1987-05-09,5.0,7.0,5.0,7.0,9.8,14.2,27.294117647058822,17.0,1.0,2
Fading Like A Flower (Every Time You Leave)Roxette,Fading Like A Flower (Every Time You Leave),Roxette,2.0,1991-06-15,1991-10-12,1991-08-03,1991-08-31,7.0,5.0,6.0,5.0,7.142857142857143,13.666666666666666,28.0,18.0,1.0,2
"Not Gon' Cry (From ""Waiting To Exhale"")Mary J. Blige","Not Gon' Cry (From ""Waiting To Exhale"")",Mary J. Blige,2.0,1996-01-27,1996-06-08,1996-02-10,1996-04-13,2.0,10.0,8.0,10.0,26.5,6.625,18.0,20.0,1.0,5
Izzo (H.O.V.A.)JAY-Z,Izzo (H.O.V.A.),JAY-Z,8.0,2001-07-28,2001-12-08,2001-09-29,2001-10-27,9.0,5.0,6.0,5.0,5.444444444444445,9.166666666666666,24.45,20.0,1.0,0
Life Is A HighwayRascal Flatts,Life Is A Highway,Rascal Flatts,7.0,2006-06-17,2006-10-28,2006-07-01,2006-07-08,2.0,2.0,16.0,2.0,26.0,4.1875,42.15,20.0,1.0,7
Lavender-BlueSammy Turner,Lavender-Blue,Sammy Turner,3.0,1959-06-20,1959-10-17,1959-08-01,1959-09-05,6.0,6.0,6.0,6.0,8.666666666666666,12.166666666666666,28.0,18.0,1.0,2
My Empty ArmsJackie Wilson,My Empty Arms,Jackie Wilson,9.0,1961-01-07,1961-03-04,1961-02-04,1961-02-04,4.0,1.0,4.0,1.0,12.75,11.75,29.77777777777778,9.0,1.0,9
It's My PartyLesley Gore,It's My Party,Lesley Gore,1.0,1963-05-11,1963-08-03,1963-05-25,1963-07-06,2.0,7.0,4.0,7.0,25.5,11.25,16.615384615384617,13.0,1.0,2
House Of The Rising SunThe Animals,House Of The Rising Sun,The Animals,1.0,1964-08-08,1964-10-17,1964-08-15,1964-10-03,1.0,8.0,2.0,8.0,50.0,15.0,13.454545454545455,11.0,1.0,2
Have You Seen HerThe Chi-lites,Have You Seen Her,The Chi-lites,3.0,1971-10-23,1972-01-22,1971-11-13,1972-01-01,3.0,8.0,3.0,8.0,17.333333333333332,8.333333333333334,15.0,14.0,1.0,2
Everything I OwnBread,Everything I Own,Bread,5.0,1972-01-29,1972-04-22,1972-02-19,1972-03-25,3.0,6.0,4.0,6.0,16.666666666666668,11.25,21.76923076923077,13.0,1.0,2
Loves Me Like A RockPaul Simon (with The Dixie Hummingbirds),Loves Me Like A Rock,Paul Simon (with The Dixie Hummingbirds),2.0,1973-08-04,1973-11-17,1973-09-01,1973-10-13,4.0,7.0,5.0,7.0,12.75,5.6,18.75,16.0,1.0,2
If You Leave Me NowChicago,If You Leave Me Now,Chicago,1.0,1976-08-14,1977-01-01,1976-09-18,1976-11-13,5.0,9.0,7.0,9.0,10.2,10.571428571428571,25.61904761904762,21.0,1.0,5
I Can't Tell You WhyEagles,I Can't Tell You Why,Eagles,8.0,1980-02-23,1980-06-07,1980-04-12,1980-05-03,7.0,4.0,5.0,4.0,7.285714285714286,17.6,30.75,16.0,1.0,0
Everything She WantsWham!,Everything She Wants,Wham!,1.0,1985-03-23,1985-08-03,1985-05-11,1985-06-15,7.0,6.0,7.0,6.0,7.428571428571429,12.285714285714286,30.05,20.0,1.0,5
How Will I KnowWhitney Houston,How Will I Know,Whitney Houston,1.0,1985-12-07,1986-05-10,1986-02-08,1986-03-15,9.0,6.0,8.0,6.0,6.111111111111111,11.5,30.043478260869566,23.0,1.0,5
